
2024/06/01 (16:30:09) | ===> btop++ v.1.3.2
2024/06/01 (16:30:09) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/01 (16:31:58) | ===> btop++ v.1.3.2
2024/06/01 (16:31:58) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/01 (16:39:42) | ===> btop++ v.1.3.2
2024/06/01 (16:39:42) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/01 (16:43:39) | ===> btop++ v.1.3.2
2024/06/01 (16:43:39) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/01 (21:31:05) | ===> btop++ v.1.3.2
2024/06/01 (21:31:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/05 (17:11:32) | ===> btop++ v.1.3.2
2024/06/05 (17:11:32) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/13 (21:41:06) | ===> btop++ v.1.3.2
2024/06/13 (21:41:06) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (17:17:35) | ===> btop++ v.1.3.2
2024/06/17 (17:17:35) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/13 (11:06:40) | ===> btop++ v.1.3.2
2024/08/13 (11:06:40) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/13 (12:33:45) | ===> btop++ v.1.3.2
2024/08/13 (12:33:45) | WARNING: Failed to set locale UTF-8 continuing anyway.
